country,economic_development_index,gender_inequality_composite,youth_vulnerability_index,freedom_index,maternal_health_risk,econ_gender_interaction,freedom_inequality_interaction,youth_compound_risk,wpsi,seats_parliament,maternal_mortality,ip_violence_missing,wpsi_missing,ip_violence,predicted_ipv
Kazakhstan,1.2359746699216014,-1.0502122620976788,-0.3670341387480467,0.0382304965893417,-0.6182712197399582,-1.298035753993797,-0.0401501363042101,0.1760510253515954,0.729,24.5,10.0,0,0,16.0,22.23516380974585
Kenya,-1.1084283171185507,0.3921922236214677,0.4951239448366003,-0.0274516762520428,0.6662833175267032,-0.4347169664157257,-0.0107663339514253,0.3005394908860104,0.511,23.2,342.0,0,0,38.0,31.97994143648861
Kyrgyzstan,-0.4375256014168482,0.2195064381042827,-0.2829631671510096,0.0443059851204504,-0.3406416215273453,-0.0960396863464465,0.0097254489804914,0.0508876819945736,0.673,20.5,60.0,0,0,23.0,25.721818419374976
Cambodia,-1.0556176060588438,0.9775002016746622,-0.3108807451768258,-0.1624667056601709,0.0208621002421297,-1.031866422813844,-0.158811237548235,-0.0121007038783643,0.645,19.8,160.0,0,0,19.0,29.078156661970596
Kiribati,-1.5650928991147317,1.3823088100766807,-0.0909485029371214,-0.4561326653227657,-0.1942737526832026,-2.163441703034747,-0.6305162018394171,-1.7178221581107663e-05,0.6071346718868672,6.7,92.0,0,1,53.0,32.06235141708259
Saint Kitts and Nevis,0.9560400716072518,-0.2471870101424076,-0.187730089685604,0.1765672970201507,-0.1421492851132413,-0.2363206868769299,-0.0436451422393375,0.0222110872487406,0.7247305863904476,25.0,129.3601382147746,1,1,25.33604101387176,25.20341926132675
Korea (Republic of),1.5754736079806235,-0.3656290901213426,-0.7595147262975255,0.9954624659490854,-0.8739743204939596,-0.5760389817961443,-0.3639700356749121,0.7230237879622784,0.848,19.0,11.0,1,0,21.35865272865862,21.393362346360053
Kuwait,1.263613800402012,0.6707376370325704,0.6837387178608781,-0.2900167933576943,-0.8272617817514858,0.8475533346033917,-0.1945251786765031,-2.43278274564264,0.742,1.5,12.0,1,0,24.28254938511663,25.15182199420417
Lao People's Democratic Republic,-0.4545563394002331,0.5282664357216392,-0.2288575164133804,-0.8294948129212619,0.4385276838192121,-0.2401268572496368,-0.438194268271503,-0.4795375288453544,0.704,22.0,185.0,0,0,19.0,29.220146088888473
Lebanon,-0.9536934304489826,1.552229081087133,-0.2503778112257765,-0.8874008906693464,-0.5973959851336769,-1.4803506771846602,-1.377449469079583,0.5012237805356708,0.595,4.7,29.0,1,0,24.59721477337812,27.96596358751435
Liberia,-2.6227662785661443,2.322284531338896,0.2448161994837336,-0.1610557783954029,2.1434707634024446,-6.090809558031438,-0.3740173428503894,-1.0600371287631685,0.5,9.7,661.0,0,0,43.0,35.99931928690137
